bus,vm_pu
1,0.9858662267248449
2,0.9782295194326242
3,0.9711780474300795
4,0.9648211765972506
5,0.959269202839959
6,0.9542036705659852
7,0.9497884790499114
8,0.9457819708864353
9,0.9426483257896372
10,0.9398980079779731
11,0.9376962775984372
12,0.936208918429131
13,0.9350516134815544
14,0.9341420317716642
15,0.933645807129003
16,0.9333423774797256
